state,office_type,district,pres_swing_state,competitive_2020_senate_race,majority_party_state_house,majority_party_state_senate,governor_party,rep_state_trifecta,n_seats_to_flip_R_state_house,n_seats_to_flip_R_state_senate,rep_supermajority_in_state_house,n_seats_to_stop_R_supermajority,state_where_state_leg_redistricts,obama_vote_share_2012,clinton_vote_share_2016,dem_state_leg_vote_share_2018,dem_votes_2018,rep_votes_2018,vote_diff_2018,vote_diff_pct_2018,outcome_rating_2018,dem_amt_raised_2018,rep_amt_raised_2018,amt_raised_diff_2018,amt_raised_ratio_2018,party_in_seat_pre2020,dem_candidate,dem_candidate_gender,dem_candidate_race,dem_candidate_website,incumbent_running_2020,dem_amt_raised_2020,rep_amt_raised_2020,amt_raised_diff_2020,amt_raised_ratio_2020,race_type
WI,STATE HOUSE/ASSEMBLY,96,TRUE,FALSE,R,R,D,N,16,4,FALSE,,Y (but gov is dem and can veto),55.6,42.9,48.3,11536,12327,791,0.0331475506,1. TOSS UP,"$134,827.00","$187,078.00","$52,251",1.387544552,REP,JOSEFINE JAYNES,Female,White,https://www.josefinejaynesforwi.com/,TRUE,"$7,329.00","$226,840.00","$219,511.00",30.95101651,TYPE 4
FL,STATE HOUSE/ASSEMBLY,83,TRUE,FALSE,R,R,R,Y,14,4,FALSE,,Y,48.8,43.7,47.9,36803,40049,3246,0.04223702701,1. TOSS UP,"$34,903.00","$258,198.00","$223,294",7.397486264,REP,EDGAR BERNIER,Male,White,https://ejbernier.com/,TRUE,"$12,641.00","$122,917.00","$110,276.00",9.723676924,TYPE 2
TX,STATE HOUSE/ASSEMBLY,26,FALSE,FALSE,R,R,R,Y,9,4,FALSE,,Y,35.9,45.8,47.6,31330,34504,3174,0.04821217,1. TOSS UP,"$36,806.00","$113,988.00","$77,183",3.097011489,REP,L. SARAH DEMERCHANT,Female,Black,https://www.democratdemerchant.com/,FALSE,"$46,304.00","$408,131.00","$361,827.00",8.814162923,TYPE 2
FL,STATE HOUSE/ASSEMBLY,28,TRUE,FALSE,R,R,R,Y,14,4,FALSE,,Y,46,46,48.7,36758,38673,1915,0.02538744018,1. TOSS UP,"$49,735.00","$246,610.00","$196,876",4.958530421,REP,PASHA BAKER,Female,Black,https://pashabaker.com/,TRUE,"$44,995.00","$361,136.00","$316,141.00",8.026136237,TYPE 2
TX,STATE HOUSE/ASSEMBLY,67,FALSE,FALSE,R,R,R,Y,9,4,FALSE,,Y,37.3,44.7,48.9,35596,37268,1672,0.0229468599,1. TOSS UP,"$46,818.00","$412,153.00","$365,335",8.803260267,REP,LORENZO SANCHEZ,Male,Latinx,https://www.lorenzofortexas.com/,TRUE,"$128,358.00","$594,532.00","$466,174.00",4.63182661,TYPE 2
FL,STATE HOUSE/ASSEMBLY,72,TRUE,FALSE,R,R,R,Y,14,4,FALSE,,Y,47.8,46,50.7,41666,40451,-1215,-0.01479596186,1. TOSS UP,"$632,897.00","$185,512.00","-$447,385",0.2931163198,DEM,DRAKE BUCKMAN,Male,White,https://buckmanforfl.com/,FALSE,"$68,211.00","$248,615.00","$180,404.00",3.644793362,TYPE 1
FL,STATE HOUSE/ASSEMBLY,105,TRUE,FALSE,R,R,R,Y,14,4,FALSE,,Y,53.1,56.2,49.6,23731,24148,417,0.008709455085,1. TOSS UP,"$16,839.00","$414,797.00","$397,959",24.63376047,REP,MAUREEN PORRAS,Female,Latinx,https://maureenporras.vote/,FALSE,"$42,050.00","$151,601.00","$109,551.00",3.605255648,TYPE 2
TX,STATE HOUSE/ASSEMBLY,96,FALSE,FALSE,R,R,R,Y,9,4,FALSE,,Y,40.2,42.5,47.2,30360,32698,2338,0.03635289362,1. TOSS UP,"$56,257.00","$125,581.00","$69,324",2.232283393,REP,JOE DRAGO,Male,White,https://dragofortexas.com/,FALSE,"$167,571.00","$489,819.00","$322,248.00",2.923053512,TYPE 2
FL,STATE HOUSE/ASSEMBLY,115,TRUE,FALSE,R,R,R,Y,14,4,FALSE,,Y,49.5,54.1,49.5,30976,31555,579,0.009259407334,1. TOSS UP,"$118,363.00","$493,936.00","$375,573",4.173063452,REP,FRANCCESCA CESTI-BROWNE,Female,Latinx,https://franccescaforflorida.com/,TRUE,"$126,480.00","$363,903.00","$237,423.00",2.877158444,TYPE 2
FL,STATE HOUSE/ASSEMBLY,60,TRUE,FALSE,R,R,R,Y,14,4,FALSE,,Y,45.7,47.2,47.7,38299,41951,3652,0.04550778816,1. TOSS UP,"$80,829.00","$419,541.00","$338,711",5.190441903,REP,JULIE JENKINS,Female,White,https://votejuliejenkins.com/,TRUE,"$130,707.00","$345,330.00","$214,623.00",2.642016112,TYPE 2
